Zone, NSW1, NSW2, VIC1, VIC2, QLD1, QLD2, QLD3, QLD4, SA1, SA2, NTer1, WA1, WA2, WA3, TAS1, NFI
N1, 0.05, 1.35, 1.2, 1.6, 1.2, 1.95, 3.0, 3.35, 1.25, 2.65, 5.95, 2.55, 5.55, 5.65, 2.5, 3.9
N2, 1.35, 1.35, 1.65, 1.75, 2.0, 2.45, 3.5, 3.8, 2.1, 3.2, 6.4, 5.2, 6.0, 6.35, 3.7, 4.5
V1, 1.2, 1.6, 0.05, 1.35, 1.55, 2.9, 3.35, 3.8, 1.2, 1.9, 5.95, 2.55, 4.65, 5.65, 1.25, 4.65
V2, 1.65, 1.75, 1.35, 1.35, 3.15, 3.7, 3.85, 5.0, 1.65, 2.45, 6.4, 4.85, 5.6, 6.35, 2.4, 4.85
Q1, 1.2, 1.9, 1.55, 3.0, 0.05, 1.35, 1.45, 2.15, 1.9, 3.35, 5.3, 3.15, 5.4, 5.6, 3.25, 4.65
Q2, 2.05, 2.45, 3.05, 3.7, 1.35, 1.35, 1.5, 2.25, 3.2, 4.65, 5.6, 5.2, 5.95, 6.25, 5.1, 5.95
Q3, 3.15, 3.5, 3.5, 3.85, 1.45, 1.5, 1.35, 1.6, 4.45, 5.05, 5.6, 5.4, 6.25, 6.45, 5.6, 6.45
Q4, 3.5, 3.8, 4.0, 5.0, 2.15, 2.25, 1.6, 1.5, 5.05, 5.4, 4.55, 5.95, 6.45, 6.65, 6.35, 7.3
S1, 1.55, 2.15, 1.2, 1.6, 2.3, 3.05, 4.15, 4.85, 0.05, 1.35, 5.3, 2.55, 4.65, 5.2, 2.55, 5.0
S2, 2.75, 3.4, 2.0, 2.45, 3.5, 4.65, 5.05, 5.4, 1.35, 1.35, 6.4, 4.85, 5.1, 6.0, 4.15, 6.9
NT1, 5.95, 6.0, 5.95, 6.0, 4.85, 5.0, 5.0, 3.95, 4.85, 5.6, 2.1, 5.95, 6.0, 5.6, 5.95, 10.05
W1, 3.25, 5.2, 3.25, 4.85, 3.15, 5.0, 5.2, 5.65, 2.55, 4.65, 5.95, 0.05, 1.35, 2.15, 3.3, 7.45
W2, 5.8, 6.25, 5.4, 5.85, 5.6, 5.95, 6.25, 6.45, 4.6, 5.0, 6.4, 1.35, 1.35, 2.25, 5.95, 9.5
W3, 6.0, 6.45, 6.0, 6.45, 5.8, 6.25, 6.45, 6.7, 5.2, 6.0, 6.4, 2.15, 2.25, 2.1, 6.25, 9.5
T1, 2.6, 3.75, 1.6, 2.3, 3.25, 4.9, 5.4, 6.05, 3.15, 4.10, 5.95, 3.75, 5.7, 6.05, 0.75, 6.4
NF, 4.1, 4.5, 4.85, 4.85, 4.85, 5.95, 6.45, 7.3, 5.2, 6.9, 10.05, 7.75, 9.5, 9.5, 6.75, 0.05
