low, high, Zone
0200, 0299,N2
1000, 2263,N1
2264, 2484,N2
2485, 2486,N2
2487, 2499,N2
2500, 2530,N1
2531, 2554,N2
2555, 2574,N1
2575, 2639,N2
2640, 2641,V2
2642, 2647,N2
2648, 2648,V2
2649, 2714,N2
2649, 2714,N2
2715, 2715,V2
2716, 2716,N2
2717, 2719,V2
2720, 2730,N2
2731, 2739,V2
2740, 2786,N1
2787, 2879,N2
2880, 2880,S2
2881, 2889,N2
2890, 2890,N1
2891, 2898,N2
2899, 2899,NF
2900, 2999,N2
3000, 3220,V1
3221, 3334,V2
3335, 3341,V1
3342, 3424,V2
3425, 3443,V1
3444, 3749,V2
3750, 3811,V1
3812, 3909,V2
3910, 3920,V1
3921, 3925,V2
3926, 3944,V1
3945, 3971,V2
3972, 3978,V1
3979, 3979,V2
3980, 3983,V1
3984, 3999,V2
8000, 8999,V1
4000, 4224,Q1
4225, 4225,N2
4226, 4299,Q1
4300, 4449,Q2
4450, 4499,Q3
4500, 4549,Q1
4550, 4699,Q2
4700, 4805,Q3
4806, 4899,Q4
9000, 9299,Q1
9400, 9596,Q1
9597, 9599,Q2
9700, 9799,Q1
9880, 9919,Q2
9920, 9959,Q3
9960, 9999,Q4
5000, 5199,S1
5200, 5749,S2
5800, 5999,S1
0800, 0999,NT1
6000, 6214,W1
6215, 6699,W2
6700, 6799,W3
6800, 6999,W1
7000, 7999,T1
